Symbols,Cluster
Psd4,1
Psmd11,1
Pstpip2,1
Ptger2,1
Ptges,1
Ptgs2,1
Ptpre,1
Pts,1
Pwp1,1
Pycard,1
Pygl,1
Rab11fip1,1
Rab11fip4,1
Rab2a,1
Rab32,1
Rab3ip,1
Rab44,1
Rabif,1
Rapgef1,1
Rasef,1
Rasl2-9,1
Rb1cc1,1
Rbm3,1
Rcl1,1
Rdh11,1
Rdh12,1
Rest,1
Rffl,1
Rgcc,1
Rhof,1
Rhou,1
Rhov,1
Ric8,1
Riok3,1
Rnf14,1
Rnf149,1
Rnf24,1
Rpl36al,1
Rps6ka2,1
Rps6ka4,1
Rspry1,1
Rtfdc1,1
S100a11,1
S100a4,1
S100a6,1
S100a8,1
S100a9,1
Samsn1,1
Schip1,1
Sdc1,1
Sec22b,1
Sec24c,1
Sec61a1,1
Sec61b,1
Sec61g,1
Sell,1
Serpinb2,1
Sestd1,1
Setd8,1
Sfmbt2,1
Sfxn1,1
Sgms2,1
Sh2d3c,1
Sh2d4a,1
Sh2d5,1
Sh3bp5l,1
Shisa3,1
Shoc2,1
Sidt2,1
Sin3b,1
Sirpb1a,1
Sirpb1b,1
Slamf6,1
Slc15a3,1
Slc16a3,1
Slc25a20,1
Slc27a4,1
Slc2a3,1
Slc2a4,1
Slc2a6,1
Slc30a6,1
Slc31a2,1
Slc52a3,1
Slc6a4,1
Slc7a11,1
Slc7a2,1
Slco4a1,1
Slfn4,1
Slpi,1
Smcr7,1
Smox,1
Snd1,1
Snx20,1
Soat2,1
Sod2,1
Sorl1,1
Spint1,1
Spsb4,1
Sqle,1
Srebf2,1
Srgn,1
Srp9,1
Ssr2,1
Ssr4,1
Steap4,1
Stk24,1
Strip1,1
Stx5a,1
Stx6,1
Surf4,1
Suv420h1,1
Syk,1
Sytl1,1
Sytl3,1
Tbc1d10b,1
Tbce,1
Tbl1xr1,1
Tes,1
Tfec,1
Tgfbi,1
Tgm1,1
Tgm2,1
Thbs1,1
Timm8b,1
Timp1,1
Tiprl,1
Tlr1,1
Tlr6,1
Tmco6,1
Tmem127,1
Tmem150b,1
Tmem243,1
Tmsb10,1
Tnfaip2,1
Tnfrsf1b,1
Tnfrsf23,1
Tnfrsf26,1
Tnfrsf8,1
Tnip1,1
Tpbg,1
Tpi1,1
Traf1,1
Trem1,1
Trem3,1
Trim13,1
Trip13,1
Trpv2,1
Trub2,1
Ttc39c,1
Tubg2,1
Uba5,1
Ube2z,1
Uck2,1
Ufsp1,1
Upp1,1
Uso1,1
Vasp,1
Vcan,1
Vdr,1
Vimp,1
Wdr48,1
Wdr92,1
Wfikkn2,1
Wwp2,1
Zc3h12a,1
Zc3h12c,1
Zc3h3,1
Zcchc3,1
Zdhhc12,1
Zfp459,1
Zfp523,1
Zfp930,1
Zfyve16,1
0610039K10Rik,2
1190002N15Rik,2
1700021K19Rik,2
1700030K09Rik,2
1810011O10Rik,2
2010005H15Rik,2
2410066E13Rik,2
2610035D17Rik,2
2700081O15Rik,2
2810025M15Rik,2
2900026A02Rik,2
3300005D01Rik,2
4930414L22Rik,2
4930444A02Rik,2
4930486L24Rik,2
4930506C21Rik,2
4930592A05Rik,2
4931406P16Rik,2
4932438H23Rik,2
6720401G13Rik,2
8430408G22Rik,2
9430020K01Rik,2
9830001H06Rik,2
A230050P20Rik,2
A4galt,2
A930012L18Rik,2
Abat,2
Abca12,2
Abca6,2
Abca8a,2
Abca8b,2
Abca9,2
Abcc9,2
Abcg2,2
Abhd6,2
Abl2,2
Ablim1,2
Ablim3,2
Acacb,2
Ace,2
Acsl3,2
Acss2,2
Acta2,2
Actc1,2
Actn2,2
Actr3,2
Acvrl1,2
Adam22,2
Adam33,2
Adamts1,2
Adamts10,2
Adamts12,2
Adamts14,2
Adamts2,2
Adamts5,2
Adamtsl2,2
Adamtsl3,2
Adarb1,2
Adcy6,2
Adcy7,2
Adcy9,2
Add3,2
Adrb1,2
Adrb2,2
Afap1l1,2
Afap1l2,2
Agmo,2
Agpat3,2
Ahdc1,2
Aif1l,2
Akap1,2
Akap12,2
Akap2,2
Akap8l,2
Aldh7a1,2
Aldoart2,2
Alox5,2
Alpk1,2
Alpl,2
Amigo1,2
Amigo2,2
Amotl1,2
Amotl2,2
Amz1,2
Angptl2,2
Ank2,2
Ankrd23,2
Ankrd35,2
Ankrd44,2
Anks1,2
Ano1,2
Antxr1,2
Aoah,2
Aoc3,2
Apbb1,2
Aplnr,2
Apod,2
Apol10b,2
Apoo-ps,2
Aqp1,2
Arap3,2
Arc,2
Areg,2
Arhgap22,2
Arhgap29,2
Arhgap39,2
Arhgap4,2
Arhgap6,2
Arhgef10,2
Arhgef12,2
Arhgef15,2
Arhgef17,2
Arhgef40,2
Arhgef5,2
Arhgef6,2
Arid1a,2
Arl4d,2
Arl5b,2
Armcx2,2
Armcx3,2
Armcx6,2
Arntl,2
Arsb,2
Art3,2
Arvcf,2
Asap2,2
Asb2,2
Asgr2,2
Aspn,2
Atf3,2
Atg4c,2
Atp10d,2
Atp1a2,2
Atp1b2,2
Atp2a3,2
Atp5s,2
Atp8b1,2
Atp8b2,2
Atp9a,2
Axin2,2
Axl,2
B3galnt1,2
B4galt4,2
Bag3,2
Bank1,2
BC017612,2
Bcam,2
