Symbols,Cluster
Ssx2ip,2
Rps27l,2
Ssna1,2
Sdhc,2
Brd7,2
AK087942,2
Dap3,2
Bcas2,2
Cenp-a,2
Mrpl17,2
2210411K11Rik,2
1110049F12Rik,2
Rnaseh2b,2
Pa2g4,2
Isyna1,2
Cox6b1,2
Fam59a,2
Eef1g,2
Mrpl15,2
2310028O11Rik,2
Lmcd1,2
Mtch2,2
Pole3,2
Crip2,2
Epor,2
AK211593,2
Hpn,2
Adk,2
Fgfrl1,2
Bmp1,2
Cct4,2
Atp5g3,2
Adat3,2
H2-Ke2,2
Kars,2
Psmd3,2
Ndufs7,2
Abcb4,2
Commd4,2
Ran,2
Pik3r2,2
Pigq,2
Sfpq,2
Vars,2
Ndufs6,2
Chst10,2
Pmf1,2
Ccdc23,2
Eif2b4,2
Epn1,2
Eif5b,2
Qars,2
Tspo2,2
4-Sep,2
Sphk1,2
Psmb3,2
Wbp5,2
Polr2j,2
AK163149,2
Polr2f,2
Acsl6,2
Chchd2,2
Cd99l2,2
Mrpl55,2
MRPS11,2
Mrpl38,2
Dkkl1,2
C1qbp,2
Aes,2
Ppm1g,2
Slc25a3,2
Pola2,2
Zwint,2
Bex4,2
Prkaca,2
Exosc8,2
Zbtb46,2
Mrpl37,2
Pycr2,2
Wdr61,2
Med25,2
Apobec3,2
Psmc3,2
Cenpv,2
Scrn3,2
Prdx4,2
Mrps22,2
Odc1,2
Dlst,2
Spon2,2
Srrt,2
Mrpl54,2
Acss1,2
Ndufb10,2
Uqcr10,2
Rcor1,3
9530077C05Rik,3
Fkbp4,3
Akap8l,3
Ddx21,3
Picalm,3
Atic,3
1700001L05Rik,3
Bms1,3
Eif4e2,3
Nfia,3
Eprs,3
Psen2,3
Clpp,3
Ptpn13,3
Mbnl1,3
Mrto4,3
Arhgef25,3
Peo1,3
Nol9,3
Larp1b,3
Dnaja3,3
Vcl,3
Tcerg1,3
Hnrnpab,3
Gspt1,3
Adamts3,3
Wdr4,3
Acsl5,3
Lonp1,3
Khsrp,3
3110056O03Rik,3
Gemin5,3
Eif4b,3
Eif4g2,3
Mcph1,3
Pcf11,3
Uqcrc2,3
Supt16h,3
AK032662,3
Nup93,3
Iars2,3
Dopey2,3
Rbm25,3
Epdr1,3
Timeless,3
Iars,3
Gja1,3
Sorbs1,3
Drctnnb1a,3
Aplp2,3
Dyrk3,3
Ppp2r1b,3
Pnp,3
Ubtf,3
8-Sep,3
Frat1,3
Hsph1,3
Slc16a1,3
Bcl11a,3
Usp24,3
Nop58,3
Atp1b2,3
Usp36,3
Fbxo10,3
Igsf3,3
Tlk1,3
Cdr2,3
Klf9,3
AK154077,3
Zfp800,3
Ikzf1,3
Eif5,3
Nup160,3
Spire1,3
Ppp6r2,3
Ranbp2,3
Hdgf,3
Cbx5,3
Ephx2,3
Nsun2,3
Pwp2,3
Asns,3
Phospho1,3
Slc25a21,3
Tomm70a,3
2610024G14Rik,3
Prpf3,3
Cachd1,3
Xrcc5,3
Eif3d,3
Polr1a,3
Myh10,3
HtrA2,3
Nop14,3
Ubqln1,3
Ahctf1,3
Rbm43,3
Gga2,3
Arvcf,3
Eif2c2,3
Sdhd,3
Poldip2,3
Ppat,3
Ftsj3,4
Tfrc,4
Csda,4
Bdh1,4
Spire2,4
Dus1l,4
Polr1d,4
LPCAT4,4
Nfs1,4
Clca5,4
Mthfd1,4
Mrpl22,4
Rabgef1,4
Sox12,4
Cox7c,4
Cfdp1,4
Prnd,4
Sqrdl,4
Casp3,4
Atpase6,4
Abcb9,4
Mospd3,4
Etf1,4
Ppid,4
Psmd2,4
Emg1,4
Dhrs4,4
Nags,4
Cacybp,4
Eif1ax,4
Mki67ip,4
Slc25a42,4
Ublcp1,4
Hnrpdl,4
Psmg1,4
Etfa,4
Skiv2l2,4
Rps10,4
Tpr,4
Cmpk2,4
Bag1,5
Mrps28,5
Txn2,5
Pabpn1,5
Oat,5
Slc7a4,5
Ybx1,5
Noc4l,5
Rangrf,5
Mrpl30,5
Hspa8,5
Rrp9,5
Snx3,5
Timm10,5
Hspa4,5
Zfand2b,5
Tomm5,5
Taf9,5
Mns1,5
Clasp1,5
Pprc1,5
Mt2,5
BC025067,5
Hspe1,5
Thoc4,5
Larp7,5
Snrpd1,5
Ddx24,5
Pitpnm2,5
Cd81,5
Csk,5
BC057079,5
Abcf1,5
Eif2s2,5
Srm,5
Reep6,5
mKIAA0007,5
Psme3,5
Bag2,5
Samm50,5
AK188353,5
Rcl1,5
C184,5
2810004N23Rik,5
Prkab1,5
Lrrc24,5
Atp5d,5
Dnajc8,5
Rcc2,5
Ranbp1,5
AK005678,5
Ndufc2,5
Baz1b,5
Ndufb6,5
Exosc7,5
Aqr,5
Mt1,5
BC048355,5
Mrpl20,5
Sod2,5
Hsp90ab1,5
Gart,5
Gar1,5
Cct5,5
Gars,5
Psmd4,5
Nolc1,5
Nat10,5
Brix1,5
Uck2,5
Hnrnpd,5
Ppp1r15a,5
Mat2a,5
Grhpr,5
Immt,5
Idh3a,5
Pgp,5
Nop2,5
Cct8,5
Fam195a,5
Acyp1,5
Ndufa12,5
Mipol1,5
Sirt2,5
Gapvd1,5
Arhgdig,5
Eif3g,5
Mrpl52,5
Imp4,5
Slc19a1,5
Prss50,5
Ahsa1,5
Ezh2,5
Prdx3,5
Gnl3,5
Slmo2,5
Mdh2,5
Ttc27,5
Mcm6,5
Slc25a5,5
Mrpl35,5
rp9,5
Myc,5
Luc7l,5
Bzw2,5
Prmt5,5
Eif3b,5
Cad,5
Banf1,5
Tuba1b,5
Ruvbl2,5
Kcng2,5
Setd8,5
Hif3a,5
2610029G23Rik,5
Mrpl12,5
Tmem147,5
Ddx39,5
Cct3,5
Ruvbl1,5
5730508B09Rik,5
Prpsap1,5
Car1,5
Chchd3,5
Mybbp1a,5
Atpif1,5
Spr,5
Rangap1,5
Gadd45a,5
Ncl,5
Mosc2,5
Cars,5
Tpd52l2,5
AK085695,5
Chaf1b,5
Adsl,5
Ipo5,5
4930473A06Rik,6
Actl6a,6
Pcbp1,6
Prelid2,6
AK142847,6
Pacsin2,6
Arl4a,6
Msh6,6
Smyd2,6
Anapc1,6
Mbp,6
Dcaf4,6
Tinagl1,6
Dtx3,6
Slc25a39,6
Mta1,6
Ppa1,6
Cd59a,6
Lrpprc,6
Samd14,6
Prdx6,6
Brf1,6
Golm1,6
Mmp14,6
Usp10,6
Etfdh,6
Elavl1,6
1300001I01Rik,6
Ebna1bp2,6
Txnl1,6
Pex11a,6
Mta2,6
Snrpd2,6
Aqp11,6
Lap3,6
Eif4ebp1,6
Phactr4,6
Gtf2a2,6
Cox6b2,6
Frat2,6
Lyar,6
Gm672,6
Rpl18,6
Ankrd43,6
Ppif,6
Srrm1,6
Ext1,6
BC002221,6
Nt5c2,6
Snx5,6
Med7,6
Gdf3,6
Prpf19,6
Arid2,6
Plscr1,6
Cox5b,6
Kti12,6
Gclm,6
Trib2,6
Strap,6
Hspd1,6
Nqo1,6
Scaf11,6
Ints8,6
Rab4a,6
Dclk2,6
Sf3b3,6
Alkbh8,6
Lefty1,6
Nfe2l2,6
1110038B12Rik,6
Uba1,6
Tmem41a,6
Il31ra,6
Ccng2,7
Muc13,7
Cd1d2,7
Gna15,7
Txnip,7
Csnk1a1,7
2210020M01Rik,7
AK046417,7
Lrp4,7
Ccdc163,7
Nanos3,7
Inf2,7
Sox4,7
Tbl1xr1,7
P2rx7,7
AK042041,7
Tprgl,7
Aqp9,7
Sipa1l1,7
1110013L07Rik,7
Optn,7
Prodh,7
P2ry1,7
Cd274,7
Tns1,7
Gbp10,7
Tfdp2,7
Lpin2,7
Tbc1d16,7
Heg1,7
Shank3,7
Myb,7
Wdr73,7
Osbpl1a,7
Flna,7
Gm2058,7
Ptp4a2,7
Nrp2,7
Top2b,7
AK150559,7
1110002B05Rik,7
Gas5,7
Ifih1,7
Gbp2,7
Rbm5,7
4930486L24Rik,7
Zfp783,7
Hyal1,7
Afap1l1,7
AK172428,7
Mier1,7
Vamp5,7
Rnf125,7
Mast4,7
Usp9x,7
Sord,7
Nfix,7
Arhgef2,7
Zbtb4,7
Ddx58,7
Cpsf2,7
Map1lc3b,7
Mll3,7
Setd2,7
Ank,7
Ndrg1,7
Gm15800,7
Rreb1,7
BC064078,7
Dab2ip,7
Iqgap2,7
AK028012,7
Stk38,7
9830001H06Rik,7
Arap3,7
Sox13,7
Crebbp,7
Ptpn14,7
Nr0b2,7
Stxbp1,7
Abcg1,7
Ggt5,7
Klhl36,7
Fbxl20,7
AKAP95,7
Chd2,7
Jarid1a,7
D930016D06Rik,7
Samsn1,7
Foxp1,7
Sqstm1,7
HDAC7,7
Treml2,7
Sh3bp5,7
Irg1,7
Grb2,7
Kdm5b,7
Plxnc1,7
Tspan32,7
BC029331,7
Acadl,7
Trp53,7
Mfsd2b,7
Fam176b,7
Dnajc6,7
Pdrg1,7
Senp6,7
Snx30,7
Naip2,7
Gna14,7
Sigirr,7
mKIAA1575,7
Paip1,7
Chd8,7
Efnb1,7
Tcp11l2,7
Epb4.1,7
Il17ra,7
Ssh3,7
Timp2,7
Asph,7
Srcap,7
Rnf216,7
Use1,7
Cbr1,7
Ptpra,7
Atf7ip,7
Hk1,7
AK012007,7
Rcor2,7
Chd6,7
Khk,7
Specc1l,7
Slc22a3,7
Nfe2,7
Ap1m1,7
Sbk1,7
Dennd3,7
2410006H16Rik,7
Casp6,7
Papola,7
Rtp4,7
Rab11fip1,7
Clec4d,7
Zbtb20,7
Mgat5,7
Smyd3,7
Prpf4b,7
Adrbk1,7
C230096C10Rik,7
Vps53,7
Zcchc11,7
Rgl1,7
Arrb1,7
Ripk3,8
Exoc3l2,8
Ldha,8
Cited2,8
Gabarapl1,8
Ptpn11,8
Bat2d,8
Sdpr,8
Aggf1,8
Trip6,8
Atrx,8
Zmynd8,8
Nckap1,8
Akt1,8
Rsu1,8
Reep2,8
Abce1,8
Fam64a,8
Fli1,8
Srgap2,8
Def6,8
H1fx,8
Magoh,8
Ddx3x,8
