Symbols,cluster
Vsig4,2
Sparc,2
Hexb,2
S100b,2
TdTomato,2
Olfml3,2
Pmepa1,2
Ctsd,2
Trem2,2
Syngr1,2
C1qa,2
Timp2,2
Ltc4s,2
Arsb,2
Cx3cr1,2
Cst3,2
C1qc,2
Camk1,2
C1qb,2
Gpr34,2
Folr2,2
Grn,2
Ecscr,2
Tmem37,2
Bin1,2
Pltp,2
Cbr2,2
Bcl2a1b,2
Lair1,2
Anxa3,2
Rnase4,2
Tmem86a,2
Pmp22,2
Itm2b,2
Pla2g16,2
Ctsb,2
Serpinb6a,2
Cfh,2
Ly86,2
Ctss,2
Itgb5,2
Hpgd,2
Ctla2a,2
St3gal5,2
Cd9,2
Chst1,2
F11r,2
Tbxas1,2
Csf1r,2
Cspg4,2
Nfic,2
Slc9a3r2,2
Man2b1,2
Emp3,2
C3ar1,2
Nupr1,2
Adgre5,2
Fabp3,2
Fcna,2
Lyz2,2
Serpine1,2
Smim14,2
Wfdc17,2
Cd37,2
Slc2a6,2
Fcgrt,2
Cd63,2
Tmsb4x,2
Dhrs3,2
Ninj1,2
Rhoc,2
Hexa,2
Lyve1,2
Hpgds,2
Ecm1,2
Mgst1,2
Selenom,2
Cd40,2
Sulf2,2
Tcim,2
Klf2,2
Lyz1,2
Rgs10,2
Apoe,2
Slco2b1,2
Tns1,2
Cebpzos,2
Selenop,2
Sigmar1,2
Serinc3,2
Lamp1,2
Mef2a,2
Stab1,2
Lpcat2,2
Mtus1,2
Ftl1,2
Comt,2
S1pr1,2
Lgmn,2
Ophn1,2
Pepd,2
2510009E07Rik,2
Pald1,2
Timd4,2
Fth1,2
Gas6,2
Tuba1a,2
Enpp1,2
Sh3bp5,2
Lrp1,2
Cd83,2
Nfia,2
Sat1,2
Scoc,2
Rhob,2
Abhd12,2
B2m,2
Nrp1,2
Tspan3,2
Sgk1,2
Lamp2,2
Ahnak2,2
Adgre1,2
Pon2,2
Cd68,2
Maf,2
Mob2,2
Tnfsf12,2
Gpx1,2
Fermt2,2
C4b,2
Rasgrp3,2
Rin2,2
Tcn2,2
Ncf1,2
Adam15,2
Clec12a,2
Ang,2
Cc2d1b,2
Tpp1,2
Polr2e,2
Fam3c,2
Pdlim7,2
Npc2,2
Fam213b,2
Slc6a6,2
Cd33,2
Gpx4,2
Laptm4a,2
S100a1,2
Lgals9,2
P2ry12,2
Zfhx3,2
Lipa,2
Pla2g15,2
Axl,2
Alox5,2
Mef2c,2
Tmbim1,2
Gltp,2
Ms4a7,2
Selenow,2
Vat1,2
Gna15,2
Asah1,2
mt-Nd2,2
Fuca1,2
Ctsa,2
Fn1,2
Fez2,2
Fbxw4,2
Ski,2
Smagp,2
Qk,2
Pkib,2
Slc27a1,2
Rftn1,2
Colec12,2
Sptbn1,2
Mpp1,2
Elmo1,2
Ntpcr,2
Glul,2
Scamp2,2
Prune2,2
Tgfbr1,2
Selenbp1,2
Saraf,2
Gusb,2
Rnaset2a,2
Sash1,2
Mfge8,2
Lamtor1,2
Rnf13,2
Rasgef1b,2
Gng5,2
Rhoa,2
Pon3,2
Dpp7,2
Ctsf,2
Rab11a,2
Plod1,2
Cd151,2
Tmem141,2
Igf1,2
Tmem176b,2
Tmem59,2
Kcnk13,2
Skil,2
Ifi27,2
Srgap2,2
Lmo2,2
Fchsd2,2
Sirt2,2
Npl,2
Itgb2,2
Gns,2
Rabac1,2
Sptssa,2
Cd84,2
Cd109,2
Bmyc,2
Snx3,2
Arl11,2
Itm2c,2
Cotl1,2
Pdlim2,2
Nagk,2
Aldh2,2
Tagap,2
2010111I01Rik,2
Il11ra1,2
Stom,2
Ypel3,2
Tmem50a,2
Blvrb,2
S100a13,2
Mdh1,2
Tspan4,2
Lyl1,2
Cebpa,2
Cdkn2c,2
Plbd2,2
Ass1,2
Pbxip1,2
Blnk,2
Tnfrsf21,2
H2-K1,2
Cyb5a,2
Rtcb,2
Plxnb2,2
Glmp,2
Chd9,2
Qpct,2
Atraid,2
Ptpra,2
Tsc22d3,2
Zbtb20,2
Dstn,2
Entpd1,2
App,2
Rab31,2
P2ry6,2
Sesn1,2
Abca1,2
Dusp3,2
Mgst3,2
Tgfbr2,2
Gnas,2
Dhrs7,2
Cyfip1,2
Renbp,2
Sfxn3,2
Ddx3x,2
Slc29a1,2
Nptn,2
Macf1,2
Itgb1,2
Dtnbp1,2
Dnase2a,2
Commd10,2
Luzp1,2
Hsbp1,2
Tmem9b,2
Klc1,2
Itgav,2
Ifi27l2a,2
Rab3il1,2
Sec14l1,2
P2rx4,2
Marcks,2
Map1lc3a,2
Cebpg,2
Klhl6,2
Uchl3,2
Dok3,2
Rab11fip5,2
Nucb1,2
Ubxn1,2
Rnaset2b,2
Mapk3,2
Mtdh,2
Crlf2,2
Tecr,2
Samd9l,2
Ergic3,2
Ssbp4,2
Necap2,2
Atp6ap1,2
Stx4a,2
Klf4,2
Akr1b3,2
Sh3glb1,2
Creg1,2
Pnkd,2
Bmp2k,2
Bst2,2
Clic4,2
Zmiz1,2
Ccl3,2
Ier2,2
Egr1,2
Fosb,2
Pf4,3
Selenop,3
Aqp1,3
Fxyd2,3
Gas6,3
F13a1,3
Lyve1,3
Ccl24,3
Mrc1,3
Cd81,3
Serinc3,3
Fcgrt,3
Folr2,3
Dab2,3
Cd36,3
Igfbp4,3
Cfh,3
Rnase4,3
Itm2b,3
Wwp1,3
C1qc,3
Ehd4,3
Maf,3
Glul,3
Selenbp1,3
Malat1,3
Blvrb,3
C1qa,3
Cd163,3
Txnip,3
Csf1r,3
Fgfr1,3
Calm2,3
C1qb,3
Pmp22,3
Snx2,3
Serpinb6a,3
Ninj1,3
Tppp3,3
Cbr2,3
Tslp,3
Rgs10,3
Ltc4s,3
Mafb,3
Gatm,3
Cd63,3
Frmd4b,3
Pepd,3
Ecm1,3
Snx5,3
Stab1,3
Stard8,3
Mtss1,3
Ighm,3
Ahnak,3
Ctsb,3
Gas7,3
Lifr,3
Mef2c,3
Pltp,3
Tns1,3
Selenom,3
P2ry12,3
Rabac1,3
Cst3,3
Cltc,3
Fcgr3,3
Nr3c1,3
Pros1,3
Tgfbr2,3
Ptpn18,3
Rin2,3
Ang,3
Fkbp1a,3
Fcna,3
Aplp2,3
Ppia,3
Ap1b1,3
Dstn,3
Npl,3
Gypc,3
Sult1a1,3
Timp2,3
Etv1,3
Cracr2b,3
Fez2,3
Hexa,3
Igf1,3
Ypel3,3
Alox5,3
Nrp1,3
Trf,3
Gpr34,3
Cd302,3
Lgmn,3
Abca9,3
Hpgd,3
Laptm4a,3
Eps8,3
Ap2a2,3
Lamp1,3
Myo5a,3
Tcf4,3
S100a6,3
Tmem50a,3
Pdlim1,3
Cavin1,3
Bin1,3
Clta,3
Ifi27l2a,3
Rgl1,3
Idh2,3
Tmem37,3
Adgre1,3
Qpct,3
Psd3,3
Smagp,3
Colec12,3
Dhrs3,3
Tspan4,3
Timd4,3
Dusp22,3
Zfp36l1,3
Rab11fip5,3
Sesn1,3
Cd37,3
Gstm1,3
Evi5,3
Sulf2,3
Tlr7,3
Snx3,3
P2ry6,3
S100a1,3
Dok2,3
Vat1,3
Man1a,3
Hpgds,3
Ctsc,3
Pea15a,3
Lamp2,3
Sptbn1,3
Gltp,3
Mrfap1,3
Tsc22d3,3
Mgl2,3
Itsn1,3
Abhd12,3
C4b,3
Eps15,3
Cyb5a,3
Rapgef6,3
Hprt,3
Mpp1,3
Clec10a,3
Hmox2,3
Ncoa4,3
Lyl1,3
Selenof,3
Aldh2,3
Rasgrp3,3
Cyb5r3,3
Rnf13,3
Atraid,3
Mgst3,3
Hist1h2bc,3
Hacd4,3
Pink1,3
Rab11a,3
Rassf4,3
Anxa6,3
Tmem59,3
Gabarapl1,3
Higd2a,3
Prune2,3
Polr3gl,3
Kif1b,3
Sgpp1,3
Rfk,3
Dse,3
2610507B11Rik,3
