Symbols,cluster
Gm4801,1
Gm4858,1
Gm5414,1
Gm5476,1
Gm6034,1
Gm806,1
Gm9978,1
Golga7,1
Gpd1,1
Gpr126,1
Gpr128,1
Gpr149,1
Gpr156,1
Gpr6,1
Gstt1,1
Gtf2h5,1
Gtpbp1,1
Gtpbp6,1
Gtsf1,1
Gucy2f,1
Guf1,1
Gyltl1b,1
Gzmn,1
H2bfm,1
H2-D1,1
Haao,1
Habp2,1
Haghl,1
Hapln1,1
Hc,1
Hcls1,1
Hdac6,1
Heatr5a,1
Hectd2,1
Hemgn,1
Hesx1,1
Hfe2,1
Hic1,1
Higd1a,1
Hipk1,1
Hipk3,1
Hipk4,1
Hist1h2ae,1
Hkdc1,1
Hnrnpa2b1,1
Hook1,1
Hook2,1
Hoxa10,1
Hoxc8,1
Hoxd10,1
Hpd,1
Hpn,1
Hps1,1
Hps5,1
Hpse2,1
Hsd11b2,1
Hspa1l,1
Htra2,1
Hypm,1
Icam4,1
Icam5,1
Ifi204,1
Ifna15,1
Ifrd1,1
Igfbp6,1
Ihh,1
Il4ra,1
Ino80,1
Ino80b,1
Ino80e,1
Invs,1
Irf3,1
Irf8,1
Itfg2,1
Itga3,1
Itga5,1
Itgb2,1
Itgb4,1
Itih2,1
Itih3,1
Itpka,1
Itpkb,1
Jmjd1c,1
Jph2,1
Jsrp1,1
Kat2a,1
Kcnc2,1
Kcnd3,1
Kcnh3,1
Kcnh5,1
Kcnip2,1
Kcnk6,1
Kcnk7,1
Kcnq3,1
Kcnt1,1
Kcnt2,1
Kdm6b,1
Kif2a,1
Kifc3,1
Klc2,1
Klf1,1
Klf9,1
Klk1b11,1
Klk1b5,1
Klk1b8,1
Klra18,1
Klra7,1
Klra8,1
Klre1,1
Klrg1,1
Klrg2,1
Kmt2d,1
Krt15,1
Krt18,1
Krt20,1
Krt80,1
Krtap19-1,1
L3hypdh,1
Lama1,1
Lama4,1
Lap3,1
Lat,1
Lats1,1
Lca5,1
Lclat1,1
Lctl,1
Ldhc,1
Leng8,1
Lepre1,1
Lfng,1
Lgals2,1
Lifr,1
Lipi,1
Lmf2,1
Lpar1,1
Lpin3,1
Lrcol1,1
Lrmp,1
Lrp2,1
Lrp8,1
Lrrc10b,1
Lrrc17,1
Lrrk1,1
Lrrk2,1
Ltbp3,1
Lurap1l,1
Ly6c1,1
Lyrm2,1
Lzts3,1
Macc1,1
Mad2l2,1
Magea3,1
Mageh1,1
Magt1,1
Mamdc4,1
Map2k7,1
Map7d1,1
Mark2,1
Marveld3,1
Masp2,1
Mast2,1
Mbp,1
Mcat,1
Mdh1,1
Mdn1,1
Med12l,1
Med24,1
Meox1,1
Mep1a,1
Mep1b,1
Mettl10,1
Mfap3l,1
Mfsd10,1
Mfsd7c,1
Mgat5b,1
Mia,1
Mical1,1
Mid1,1
Midn,1
Mink1,1
Minos1,1
Mki67,1
Mkrn2os,1
Mllt1,1
Mllt3,1
Mmab,1
Mmp8,1
Mog,1
Mogat2,1
Mon1b,1
Mospd3,1
Msantd1,1
Mta1,1
Mtfp1,1
Mtl5,1
Mtmr3,1
Mtus1,1
Muc1,1
Muc13,1
Mustn1,1
Mybl2,1
Myl9,1
Myom1,1
Myoz1,1
Nars2,1
Ncam2,1
Ncan,1
Ncaph2,1
Ncdn,1
Ndor1,1
Ndrg1,1
Ndst4,1
Nek11,1
Nf1,1
Nfatc2,1
Nfe2l1,1
Nfkbil1,1
Ngly1,1
Nicn1,1
Nkapl,1
Nkx2-5,1
Nkx6-2,1
Nlgn1,1
Nmnat2,1
Nnmt,1
Nod2,1
Nol6,1
Nos1,1
Notum,1
Noxa1,1
Npas3,1
Npepl1,1
Npffr1,1
Nprl3,1
Nrd1,1
Nrg3,1
Nrgn,1
Nrn1l,1
Nsa2,1
Nsd1,1
Nsun5,1
Nsun6,1
Ntmt1,1
Ntrk2,1
Nuggc,1
Nup214,1
Nxf7,1
Oas1c,1
Oit3,1
Olah,1
Olfr1006,1
Olfr1036,1
Olfr1043,1
Olfr1058,1
Olfr1061,1
Olfr1080,1
Olfr1132,1
Olfr1273-ps,1
Olfr128,1
Olfr1283,1
Olfr1298,1
Olfr1310,1
Olfr1324,1
Olfr1390,1
Olfr1454,1
Olfr1471,1
Olfr160,1
Olfr165,1
Olfr203,1
Olfr26,1
Olfr272,1
Olfr281,1
Olfr389,1
Olfr460,1
Olfr47,1
Olfr488,1
Olfr495,1
Olfr536,1
Olfr559,1
Olfr610,1
Olfr618,1
Olfr64,1
Olfr671,1
Olfr711,1
Olfr723,1
Olfr731,1
Olfr837,1
Olfr845,1
Olfr894,1
Olfr9,1
Olfr91,1
Olfr910,1
Olfr993,1
Oosp1,1
Oosp3,1
P2ry4,1
Pacsin3,1
Parg,1
Park2,1
Pars2,1
Pcbd1,1
Pcdh8,1
Pcdh9,1
Pcif1,1
Pcnxl2,1
Pcsk4,1
Pcsk9,1
Pde4b,1
Pde4dip,1
Pde6c,1
Pdgfrb,1
Pdk2,1
Pdzd4,1
Pdzk1,1
Pecam1,1
Peo1,1
Pex2,1
Pex5,1
Pfkp,1
Pfn2,1
Pgap2,1
Pgk1,1
Pgpep1l,1
Pgs1,1
Phf14,1
Phf21a,1
Phlda2,1
Phox2b,1
Phrf1,1
Piezo1,1
Pigo,1
Pik3c2g,1
Pim1,1
Pin1,1
Pip4k2b,1
Pkd1l2,1
Pkhd1l1,1
Pkn2,1
Pla1a,1
Pla2g2f,1
Plcd3,1
Pld6,1
Plek,1
Plekhm3,1
Plod2,1
Plxna4,1
Pmch,1
Pmm2,1
Pnp,1
Podxl,1
Polr1a,1
Polr2a,1
Polr2c,1
Polr3h,1
Popdc2,1
Pot1a,1
Pou2f1,1
Ppfia1,1
Ppil2,1
Ppp1r10,1
Ppp1r12c,1
Ppp1r16b,1
Ppp1r9b,1
Ppp2r1a,1
Ppp6r1,1
Prb1,1
Prdx6,1
Prepl,1
Prkce,1
Prodh2,1
Prokr1,1
Prr15,1
Prr22,1
Prr5l,1
Prrc2a,1
Prrg3,1
Prss38,1
Psg19,1
Psmg4,1
Ptger2,1
Ptgs2,1
Ptov1,1
Ptplb,1
Ptpn14,1
Ptpn2,1
Ptprcap,1
Ptprd,1
Ptprn,1
Pus10,1
Pxn,1
R3hdm4,1
Rab11fip3,1
Rab26,1
Rab27b,1
Rab39b,1
Rab4b,1
Rabep1,1
Rabggta,1
Rad51b,1
Rad54l2,1
Rasal1,1
Rasef,1
Rasgrp2,1
Rb1,1
Rbfox2,1
Rbms3,1
Rbp2,1
Rbp4,1
Rbpj,1
Rbpms,1
Rcan2,1
Rdh7,1
Reep2,1
Reep6,1
Rere,1
Rexo1,1
Rexo2,1
Rhag,1
Rhbdl1,1
Rhox4b,1
Rhpn1,1
Riok2,1
Rmi1,1
Rnf111,1
Rnf123,1
Rnf212,1
Rock2,1
Ros1,1
Rp1l1,1
Rpap2,1
Rpl17,1
Rpl18a,1
Rpl27a,1
Rptor,1
Rpusd1,1
Rrp1,1
Rrp1b,1
Rs1,1
Rxfp2,1
Rxra,1
Ryr1,1
Sacs,1
Sap30l,1
Sars2,1
Scaf1,1
Scamp3,1
Scrib,1
Sct,1
Sdcbp2,1
Sec61a1,1
Sema3b,1
Sema6b,1
Sema6d,1
Serpina1b,1
Serpina3f,1
Serpina7,1
Serpinb13,1
Serpinb3d,1
Serpinb9d,1
Serpinf2,1
Sesn2,1
Setd1a,1
Setd3,1
Setd5,1
Sfmbt2,1
Sfn,1
Sfswap,1
Sh2d1a,1
Sh3glb1,1
Sh3glb2,1
Sh3rf1,1
Shroom2,1
Sirt6,1
Slbp,1
Slc12a4,1
Slc13a4,1
Slc14a2,1
Slc15a3,1
Slc16a13,1
Slc17a4,1
Slc17a8,1
Slc17a9,1
Slc1a6,1
Slc1a7,1
Slc20a1,1
Slc22a17,1
Slc22a4,1
Slc23a3,1
Slc24a2,1
Slc25a22,1
Slc25a23,1
Slc25a25,1
Slc25a29,1
Slc25a33,1
Slc28a3,1
Slc29a2,1
Slc2a13,1
Slc39a13,1
Slc44a3,1
Slc5a8,1
Slc6a14,1
Slc6a2,1
Slc7a9,1
Slc8a1,1
Slco3a1,1
Slit1,1
Sltm,1
Smco2,1
Smg1,1
Smg5,1
Smtnl2,1
Snapin,1
Snhg10,1
Snrpa1,1
Snx33,1
Soat2,1
Sowahb,1
Sox13,1
Sp6,1
Spag16,1
Spi1,1
Spib,1
Spice1,1
Spink3,1
Spink6,1
Spink8,1
Spock2,1
Spon2,1
Spp2,1
Sppl2c,1
Spred3,1
Sprn,1
Spry1,1
Spry4,1
Spsb3,1
Sptb,1
Srgap3,1
Ssbp2,1
Ssbp4,1
Ssr4,1
Ssxb8,1
Stap2,1
Stat3,1
Stat5a,1
Ston2,1
Stra13,1
Stra8,1
Strada,1
Stx16,1
Stx19,1
Stx3,1
Styxl1,1
Sumf1,1
Sva,1
Svep1,1
Synb,1
Synm,1
Sytl2,1
Taar7e,1
Tacc1,1
Tada3,1
Taf9,1
Tas2r116,1
Tas2r125,1
Tbc1d22b,1
Tbc1d25,1
Tbcc,1
Tbkbp1,1
Tbx21,1
Tbx4,1
Tcerg1,1
Tcf21,1
Tcf7l2,1
Tcp11,1
Tctn3,1
Tdh,1
Telo2,1
Tet2,1
Tfap2a,1
Tfcp2l1,1
Tfpt,1
Theg,1
Thy1,1
Tigd3,1
Timm8a2,1
Timp1,1
Timp3,1
Tktl2,1
Tm4sf5,1
Tm6sf1,1
Tm7sf2,1
Tm9sf3,1
Tmbim1,1
Tmc6,1
Tmco4,1
Tmem116,1
Tmem125,1
Tmem132e,1
Tmem151b,1
Tmem170b,1
Tmem196,1
Tmem200a,1
Tmem223,1
Tmem253,1
Tmem259,1
Tmem63c,1
Tmem98,1
Tmod4,1
Tmsb15a,1
Tmub1,1
Tnfrsf9,1
Tnnt3,1
Tnp1,1
Tnpo2,1
Tnrc6a,1
Tom1,1
Tomm20,1
Top3b,1
Tor2a,1
Tprkb,1
Tpt1,1
Traf3,1
Traf3ip3,1
Traip,1
Trerf1,1
Tro,1
Trp53,1
Trpm1,1
Trpm5,1
Trpm6,1
Trpm8,1
Trpt1,1
Tsc22d4,1
Tsks,1
Tspan13,1
Tspan6,1
Ttbk1,1
Ttc39c,1
Ttll13,1
Tusc5,1
Txndc2,1
Tyms,1
Tysnd1,1
Ubald1,1
Ubald2,1
Ubap2l,1
Ube2b,1
Ube2i,1
Ube2j1,1
Ube2s,1
Uck1,1
Upf1,1
Upk3b,1
Urb1,1
Uroc1,1
Usf1,1
Usp19,1
Usp26,1
Usp42,1
Usp48,1
Ust,1
Vars2,1
Vash1,1
Vasn,1
Vgll3,1
Vil1,1
Vmn1r178,1
Vmn1r230,1
Vmn1r27,1
Vmn1r30,1
Vmn1r41,1
Vmn1r73,1
Vmn2r81,1
Vps72,1
Vwa1,1
Wbp2nl,1
Wdr33,1
Wdr62,1
Wdr82,1
Wfdc10,1
Wfikkn2,1
Wnt10a,1
Wnt10b,1
Wnt3,1
Wrap53,1
Xcl1,1
Xkr7,1
Xpc,1
Yif1b,1
Yipf7,1
Zak,1
Zbtb17,1
Zbtb32,1
Zbtb43,1
Zc2hc1c,1
Zc3h8,1
Zfp106,1
Zfp280c,1
Zfp366,1
Zfp385a,1
Zfp398,1
Zfp429,1
Zfp445,1
Zfp513,1
Zfp707,1
Zfp735,1
Zfp777,1
Zfp92,1
Zfp930,1
Zfp940,1
Zfy1,1
Zkscan1,1
Zp3,1
Zscan10,1
Zscan20,1
Zzef1,1
42619,2
42620,2
0610011F06Rik,2
1110006O24Rik,2
1110008L16Rik,2
1110012L19Rik,2
1110037F02Rik,2
1110057K04Rik,2
1110059E24Rik,2
1190007I07Rik,2
1200014J11Rik,2
1700007E05Rik,2
1700028K03Rik,2
1700048O20Rik,2
1700123O20Rik,2
1810009A15Rik,2
1810026B05Rik,2
1810044D09Rik,2
2010005H15Rik,2
2300009A05Rik,2
2310003H01Rik,2
2310022A10Rik,2
2310022B05Rik,2
2310033P09Rik,2
2310057N15Rik,2
2410004B18Rik,2
2410016O06Rik,2
2610301B20Rik,2
2610305D13Rik,2
2700049A03Rik,2
2700081O15Rik,2
2810002D19Rik,2
2810006K23Rik,2
2900097C17Rik,2
3110002H16Rik,2
3300005D01Rik,2
4930415F15Rik,2
4930453N24Rik,2
4930503E24Rik,2
4933427G23Rik,2
5830415F09Rik,2
5830432E09Rik,2
6030458C11Rik,2
6430548M08Rik,2
9130011E15Rik,2
9130401M01Rik,2
9430002A10Rik,2
9630033F20Rik,2
A630072M18Rik,2
A730063M14Rik,2
A830080D01Rik,2
A930005H10Rik,2
Aacs,2
Abcb10,2
Abcb7,2
Abcd3,2
Abcf2,2
Abhd2,2
Abhd6,2
Abracl,2
Acap1,2
Acap3,2
Acbd6,2
Acot10,2
Acot11,2
Acot7,2
Acot8,2
Acox1,2
Acsf3,2
Acsl4,2
Acss2,2
Actn1,2
Acy1,2
Ada,2
Adal,2
Adam39,2
Adap1,2
Adat1,2
Adat2,2
Add3,2
Adh5,2
Adi1,2
Adprhl1,2
Adra2b,2
Adrbk1,2
Adrm1,2
Aen,2
Afg3l1,2
Afg3l2,2
Agfg2,2
Ahctf1,2
Ahcy,2
AI504432,2
Aifm1,2
Aim1l,2
Aimp2,2
Aip,2
Ak2,2
Akap10,2
Akap13,2
Akip1,2
Akr1e1,2
Akt3,2
Aldh18a1,2
Aldh4a1,2
Alg13,2
Alkbh1,2
Alkbh2,2
Alkbh7,2
Alkbh8,2
Alox15,2
Amd1,2
Amtn,2
Anapc5,2
Anapc7,2
Ankrd37,2
Ankrd54,2
Anks1b,2
Anp32a,2
Anxa4,2
Anxa9,2
Ap1ar,2
Ap1s3,2
Ap2b1,2
Ap3m1,2
Ap4s1,2
Apeh,2
Apex1,2
Aph1a,2
Api5,2
Apip,2
Aplf,2
Apon,2
Apopt1,2
Aqr,2
Araf,2
Arf6,2
Arhgap1,2
Arhgap9,2
Arhgef6,2
Arid5a,2
Arl16,2
Arl6ip4,2
Arl6ip5,2
Arl8a,2
Armc6,2
Asb1,2
Asb4,2
Asun,2
Asxl1,2
Atad3a,2
Atf6,2
Atg101,2
Atic,2
Atm,2
Atp10a,2
Atp11b,2
Atp2a3,2
Atp4a,2
Atp5a1,2
Atp5e,2
Atp5k,2
Atp5l,2
Atp8b5,2
Atxn7l1,2
Aven,2
B020018G12Rik,2
B230217C12Rik,2
B3galnt2,2
B3gnt7,2
B630005N14Rik,2
B9d2,2
Babam1,2
Bag2,2
Bag4,2
Bard1,2
BC004004,2
BC005624,2
BC023829,2
BC030336,2
Bccip,2
Bckdk,2
Bcl2l2,2
Bcl3,2
Bcl6,2
Bcl7b,2
Bcr,2
Bcs1l,2
Best1,2
Bex6,2
Bloc1s5,2
Bmyc,2
Bop1,2
Bpnt1,2
Brcc3,2
Brf2,2
Brms1,2
Brwd3,2
Bst1,2
Btaf1,2
Btla,2
Btnl2,2
Bzw2,2
C1galt1c1,2
C230052I12Rik,2
C78339,2
Caap1,2
Cab39l,2
Cacna1f,2
Cad,2
Calcoco2,2
Cand1,2
Capg,2
Card11,2
Card14,2
Carm1,2
Cars2,2
Casc4,2
Casp2,2
Casz1,2
Cat,2
Cbx1,2
Cbx3,2
Ccdc101,2
Ccdc102a,2
Ccdc173,2
Ccdc43,2
Ccdc58,2
Ccdc61,2
Ccdc85b,2
Ccdc88a,2
Ccna2,2
Ccnc,2
Ccrn4l,2
Cct4,2
Cct5,2
Cct7,2
Ccz1,2
Cd2ap,2
Cd2bp2,2
Cd300lg,2
Cd320,2
Cd3eap,2
Cd44,2
Cd52,2
Cdan1,2
Cdc123,2
Cdc34,2
Cdc37l1,2
Cdc40,2
Cdc42ep2,2
Cdc42se2,2
Cdc5l,2
Cdc73,2
Cdca4,2
Cdca7,2
Cdk2ap1,2
Cdkn2aipnl,2
Cdr2,2
Cecr5,2
Celf2,2
Cenpj,2
Cenpm,2
Cep97,2
Ces4a,2
Cfap20,2
Chchd4,2
Chfr,2
Chid1,2
Chmp4b,2
Chst12,2
Chtop,2
Ciapin1,2
Cib1,2
Cinp,2
Cisd1,2
Cks1b,2
Clasp1,2
Cldn12,2
Cldn15,2
Cldn17,2
Clec2d,2
Clec4g,2
Clp1,2
Clpp,2
Clta,2
Clu,2
Cluh,2
Cmc2,2
Cmss1,2
Cnksr2,2
Cnn2,2
Cnot1,2
Cnot11,2
Cog8,2
Coil,2
Commd2,2
Copg2,2
Cops4,2
Cops7b,2
Coq3,2
Coq5,2
Coq6,2
Corin,2
Coro1a,2
Coro2a,2
Cox10,2
Cox17,2
Cox18,2
Cox20,2
Cox4i2,2
Cox7a2,2
Cox7b,2
Cpne1,2
Cpox,2
Cpsf3l,2
Cpt2,2
Cptp,2
Crebzf,2
